p_request,window,r_response,failure_probability
0.13999999999999999,9,0.05,2.174847027529755e-08
0.13999999999999999,10,0.05,3.0447858413890925e-09
0.145,1,0.05,0.15147558109166884
0.145,2,0.05,0.022107115678571477
0.145,3,0.05,0.003208564120589887
0.145,4,0.05,0.0004653056216504806
0.145,5,0.05,6.747065725317366e-05
0.145,6,0.05,9.783273520296669e-06
0.145,7,0.05,1.4185752537407574e-06
0.145,8,0.05,2.0569342426650075e-07
0.145,9,0.05,2.982554678091039e-08
0.145,10,0.05,4.324704288746186e-09
0.14999999999999997,1,0.05,0.15665796344647515
0.14999999999999997,2,0.05,0.023656196609278476
0.14999999999999997,3,0.05,0.0035520006314667765
0.14999999999999997,4,0.05,0.0005328805383803914
0.14999999999999997,5,0.05,7.993389105369193e-05
0.14999999999999997,6,0.05,1.1990124390788899e-05
0.14999999999999997,7,0.05,1.7985195751084547e-06
0.14999999999999997,8,0.05,2.6977795688730796e-07
0.14999999999999997,9,0.05,4.046669399706962e-08
0.14999999999999997,10,0.05,6.070004109999845e-09
0.15499999999999997,1,0.05,0.161837640302793
0.15499999999999997,2,0.05,0.025257536194364747
0.15499999999999997,3,0.05,0.0039191003031767615
0.15499999999999997,4,0.05,0.0006075611481750284
0.15499999999999997,5,0.05,9.417439537286414e-05
0.15499999999999997,6,0.05,1.4597089362688682e-05
0.15499999999999997,7,0.05,2.2625502465926294e-06
0.15499999999999997,8,0.05,3.50695321745787e-07
0.15499999999999997,9,0.05,5.4357775676009465e-08
0.15499999999999997,10,0.05,8.425455249131501e-09
0.15999999999999998,1,0.05,0.1670146137787056
0.15999999999999998,2,0.05,0.026911109242284074
0.15999999999999998,3,0.05,0.0043106496620518
0.15999999999999998,4,0.05,0.0006898288375670002
0.15999999999999998,5,0.05,0.00011037581190827703
0.15999999999999998,6,0.05,1.7660211774253272e-05
0.15999999999999998,7,0.05,2.8256359797363743e-06
0.15999999999999998,8,0.05,4.5210181041177584e-07
0.15999999999999998,9,0.05,7.233629103942558e-08
0.15999999999999998,10,0.05,1.1573806601470753e-08
0.16499999999999998,1,0.05,0.1721888859900861
0.16499999999999998,2,0.05,0.028616889746140062
0.16499999999999998,3,0.05,0.004727434935333742
0.16499999999999998,4,0.05,0.0007801807489232252
0.16499999999999998,5,0.05,0.0001287340167670495
0.16499999999999998,6,0.05,2.124122693062153e-05
0.16499999999999998,7,0.05,3.504805551688502e-06
0.16499999999999998,8,0.05,5.782930006476914e-07
0.16499999999999998,9,0.05,9.541834741062417e-08
0.16499999999999998,10,0.05,1.574402738547272e-08
0.16999999999999996,1,0.05,0.17736045905059986
0.16999999999999996,2,0.05,0.03037485088470693
0.16999999999999996,3,0.05,0.00517024203162624
0.16999999999999996,4,0.05,0.0008791297758957818
0.16999999999999996,5,0.05,0.00014945751469316594
0.16999999999999996,6,0.05,2.540793509022173e-05
0.16999999999999996,7,0.05,4.319353519790628e-06
0.16999999999999996,8,0.05,7.342902299882589e-07
0.16999999999999996,9,0.05,1.248293429019341e-07
0.16999999999999996,10,0.05,2.122098840326238e-08
0.17499999999999996,1,0.05,0.1825293350717079
0.17499999999999996,2,0.05,0.03218496502348187
0.17499999999999996,3,0.05,0.00563985652073469
0.17499999999999996,4,0.05,0.000987204558426299
0.17499999999999996,5,0.05,0.0001727678332087926
0.17499999999999996,6,0.05,3.0234586283552053e-05
0.17499999999999996,7,0.05,5.291059198507276e-06
0.17499999999999996,8,0.05,9.259355618299428e-07
0.17499999999999996,9,0.05,1.620387295092836e-07
0.17499999999999996,10,0.05,2.8356777853664096e-08
0.17999999999999997,1,0.05,0.1876955161626694
0.17999999999999997,2,0.05,0.03404720371576889
0.17999999999999997,3,0.05,0.006137063612895239
0.17999999999999997,4,0.05,0.0011049494772756168
0.17999999999999997,5,0.05,0.0001988999166583276
0.17999999999999997,6,0.05,3.580227696236502e-05
0.17999999999999997,7,0.05,6.444419312945992e-06
0.17999999999999997,8,0.05,1.1599957828257469e-06
0.17999999999999997,9,0.05,2.0879925083909063e-07
0.17999999999999997,10,0.05,3.7583865472783114e-08
0.18499999999999997,1,0.05,0.19285900443054468
0.18499999999999997,2,0.05,0.03596153770379408
0.18499999999999997,3,0.05,0.006662648137394054
0.18499999999999997,4,0.05,0.0012329246480496272
0.18499999999999997,5,0.05,0.00022810252014287015
0.18499999999999997,6,0.05,4.2199358476966665e-05
0.18499999999999997,7,0.05,7.806894743161288e-06
0.18499999999999997,8,0.05,1.4442759869537456e-06
0.18499999999999997,9,0.05,2.6719107331177216e-07
0.18499999999999997,10,0.05,4.943034910087727e-08
0.18999999999999997,1,0.05,0.198019801980198
0.18999999999999997,2,0.05,0.03792793691985227
0.18999999999999997,3,0.05,0.007217394520578069
0.18999999999999997,4,0.05,0.0013717059146913105
0.18999999999999997,5,0.05,0.0002606386033316574
0.18999999999999997,6,0.05,4.952185737897843e-05
0.18999999999999997,7,0.05,9.409171773372235e-06
0.18999999999999997,8,0.05,1.7877433181986752e-06
0.18999999999999997,9,0.05,3.3967125505117145e-07
0.18999999999999997,10,0.05,6.453753934754522e-08
0.19499999999999995,1,0.05,0.20317791091430054
0.19499999999999995,2,0.05,0.0399463704874849
0.19499999999999995,3,0.05,0.007802086763258483
0.19499999999999995,4,0.05,0.001521884842408166
0.19499999999999995,5,0.05,0.0002967857241358163
0.19499999999999995,6,0.05,5.7873907546503944e-05
0.19499999999999995,7,0.05,1.1285438260147788e-05
0.19499999999999995,8,0.05,2.200661460354837e-06
0.19499999999999995,9,0.05,4.291290227799931e-07
0.19499999999999995,10,0.05,8.368016088745945e-08
0.19999999999999996,1,0.05,0.2083333333333333
0.19999999999999996,2,0.05,0.04201680672268906
0.19999999999999996,3,0.05,0.008417508417508412
0.19999999999999996,4,0.05,0.0016840687100033668
0.19999999999999996,5,0.05,0.00033683643222850947
0.19999999999999996,6,0.05,6.736819412818812e-05
0.19999999999999996,7,0.05,1.3473675133524101e-05
0.19999999999999996,8,0.05,2.694736479024975e-06
0.19999999999999996,9,0.05,5.389473538978387e-07
0.19999999999999996,10,0.05,1.0778947310328177e-07
0.20499999999999996,1,0.05,0.21348607133558967
0.20499999999999996,2,0.05,0.04413921313515762
0.20499999999999996,3,0.05,0.009064442562856082
0.20499999999999996,4,0.05,0.001858880501578123
0.20499999999999996,5,0.05,0.00038109866239420504
0.20499999999999996,6,0.05,7.81264093021478e-05
0.20499999999999996,7,0.05,1.6015963644912108e-05
0.20499999999999996,8,0.05,3.283274637453069e-06
0.20499999999999996,9,0.05,6.730713885205382e-07
0.20499999999999996,10,0.05,1.3797963833829864e-07
0.20999999999999996,1,0.05,0.21863612701717855
0.20999999999999996,2,0.05,0.046313556429550345
0.20999999999999996,3,0.05,0.009743671781875156
0.20999999999999996,4,0.05,0.002046958897571915
0.20999999999999996,5,0.05,0.0004298961276883945
0.20999999999999996,6,0.05,9.027971984519064e-05
0.20999999999999996,7,0.05,1.8958808775529855e-05
0.20999999999999996,8,0.05,3.9813528243886895e-06
0.20999999999999996,9,0.05,8.360842246071031e-07
0.20999999999999996,10,0.05,1.7557769296600233e-07
0.21499999999999997,1,0.05,0.22378350247202702
0.21499999999999997,2,0.05,0.04853980250679596
0.21499999999999997,3,0.05,0.010455978135173724
0.21499999999999997,4,0.05,0.00224895826510639
0.21499999999999997,5,0.05,0.0004835687123875833
0.21499999999999997,6,0.05,0.00010396924650711085
0.21499999999999997,7,0.05,2.2353479218948684e-05
0.21499999999999997,8,0.05,4.806002248735668e-06
0.21499999999999997,9,0.05,1.0332906783935635e-06
0.21499999999999997,10,0.05,2.2215750486458236e-07
0.21999999999999995,1,0.05,0.22892819979188342
0.21999999999999995,2,0.05,0.0508179164654249
0.21999999999999995,3,0.05,0.011202143135783686
0.21999999999999995,4,0.05,0.002465548647597897
0.21999999999999995,5,0.05,0.0005424728647078167
0.21999999999999995,6,0.05,0.00011934655518415933
0.21999999999999995,7,0.05,2.6256364351173886e-05
0.21999999999999995,8,0.05,5.776406072287731e-06
0.21999999999999995,9,0.05,1.2708096221910846e-06
